treatment,replicate,obs,time,elapsed,date,hhmmss,averaging,TIME,E,CO2_r,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
empty,empty,1400,1677601181,5910.5,20230228 10:19:41,10:19:41,5,1677601178,7.85E-05,419.9926,0.078482249,-0.322887397,420.2624,511.3867503,50.66028948,41.63309829,0.005030952,3.461667205,0.005026893,0.003142173,238.0512992,27.80920048,25.05495,3.190109356,52.90304863,1.681495622,3.178447492,1.508613734,-3.4610672,-11.46626472,322.2954896,545.4194568,-0.30241358,0.077325349,-0.322887397,427.2090014,427.5368848,6.66E-05,92.95838161,0.078482249,16.89754143,16.97461758,6.08E-06,100.24,0,0,1,0,52731.56942,1500.009,1264.507711,0.843000083,0.158699914,6,0.5,0: Broadleaf,2,TRUE,1677601178,420.2624,419.9926,16.97374,16.89776,416.933,16.61646,600.2594,98.96455,0.09998276,24.99351,25.05495,999.9,0,0,10009.81,488.6269,269.1248,0.2698608,427.5191,427.2114,0.07598075,419.9926,16.89776,1.6798,1.672279,14.71101,14.64146,1500.009,0.9000016,0.09999855,30,29958.23,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,0.277470293,0.002607909,0.025447352,1,0.07249162,0.030422344,0.00308229,1,2,2,2-Feb,3.20837,2.73535,0.099165,0.0993001,0.086594,0.0860469,29102.2,23026.4,30729.9,27596.1,38028,38426.5,46502,47282.1,2.17243,1.64697,0.0107288,0,24.8828,999.9,46.3,31.7,21.9636,63.2547,28.0529,1,0.0493344,0.713627,20.1868,5.24589,11.9081,5.0118,3.29538,1533.3,8574.9,6517,999.9,1.86628,1.864,1.86721,1.86676,1.86065,1.86356,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.329,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.2,102.2,1.07544,2.48535,1.65283,2.29004,1.55029,2.34985,37.4819,23.7723,19,630.644,344.927,23.6421,28.1725,29.9999,28.5093,28.6223,21.4937,27.7354,0,23.6447,420,16.9222,107.2,99.4329
empty,empty,1401,1677601184,5913.5,20230228 10:19:44,10:19:44,5,1677601181,7.87E-05,419.978,0.078664938,-0.330945572,420.2753,513.7335554,50.89272879,41.63433872,0.005040323,3.463134213,0.005036251,0.003148023,238.0497481,27.81034005,25.05926,3.190928835,52.89983006,1.681621901,3.17887959,1.509306934,-3.469123772,-11.85013409,322.2794182,545.0099084,-0.329795925,0.077037964,-0.330945572,427.1951059,427.5317818,-2.84E-05,92.95838161,0.078664938,16.89945118,16.97660727,2.14E-05,100.24,0,0,1,0,52762.8061,1499.999,1264.499225,0.843000045,0.158699938,6,0.5,0: Broadleaf,2,TRUE,1677601181,420.2753,419.978,16.97503,16.89933,416.9458,16.61775,600.2397,98.96459,0.09985353,24.99579,25.05926,999.9,0,0,10016.07,488.6473,271.5089,0.2972594,427.5327,427.1974,0.07570153,419.978,16.89933,1.679928,1.672435,14.71218,14.64292,1499.999,0.9000011,0.09999899,30,29958.09,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,0.280714073,0.056354801,0.026627527,1,0.073663944,0.022591915,0.002437237,1,2,2,2-Feb,3.20821,2.73502,0.0991647,0.0990256,0.0866037,0.0860531,29102.2,23033.6,30729.8,27596.4,38027.5,38426.8,46501.9,47282.8,2.17238,1.64692,0.0111386,0,24.8839,999.9,46.3,31.7,21.9624,63.0447,28.1931,1,0.0489812,0.719521,20.186,5.24215,11.9075,5.0108,3.29472,1533.3,8574.9,6517,999.9,1.86628,1.86401,1.86722,1.86676,1.86066,1.86357,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.33,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.3,102.3,0.592041,2.65259,1.65283,2.29004,1.55029,2.37061,37.4819,23.7723,19,630.584,344.891,23.6453,28.1701,29.9999,28.5076,28.6211,11.767,27.7354,0,23.6447,14.18,16.9222,107.2,99.4343
empty,empty,1407,1677601199,5928.5,20230228 10:19:59,10:19:59,5,1677601196,8.91E-05,46.21535,0.089085536,-0.480885424,193.0748,321.7708604,31.87613812,19.12689976,0.005697913,3.456367766,0.0056927,0.003558406,238.0508827,27.81792976,25.0688,3.192743369,52.8531278,1.680603146,3.179761002,1.512140223,-3.928672135,-12.73818182,322.2380795,543.6221082,-146.9389631,0.091978391,-0.480885424,40.50567663,148.6211273,-17.4072306,92.95838161,0.089085536,16.8739572,16.96167333,-2.68E-05,100.24,0,0,1,0,52616.11466,1500.004,1264.503705,0.843000222,0.158700165,6,0.5,0: Broadleaf,2,TRUE,1677601196,193.0748,46.21535,16.9647,16.87432,189.7453,16.60741,600.2523,98.96471,0.10000355,25.00044,25.0688,999.9,0,0,9987.187,488.7101,272.9884,146.8595,196.4067,47.00857,0.09036922,46.21535,16.87432,1.678905,1.669962,14.70276,14.62,1500.004,0.8999984,0.1000018,30,29958.16,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,98.04714356,720.0669052,86.0028492,0,0.084323461,0.06778856,0.007559547,1,1,2,2-Jan,3.20822,2.7353,0.0378557,0.0104266,0.0865444,0.0859587,31083.6,25298.9,30730.6,27596.6,38027.3,38425.7,46503.3,47282.6,2.1728,1.64552,0.0106171,0,24.8871,999.9,46.3,31.8,22.0883,63.0747,28.2652,1,0.0488161,0.872647,20.1849,5.24245,11.9078,5.0107,3.29488,1533.7,8577.1,6517,999.9,1.8663,1.86401,1.86722,1.86676,1.86066,1.86357,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.33,0.3572,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.5,102.5,0.233154,2.55615,1.65283,2.29004,1.55029,2.41333,37.4819,23.7723,19,630.815,344.054,23.5931,28.1611,30,28.4987,28.6123,4.66239,27.7354,0,23.5919,39.29,16.9234,107.203,99.4342
empty,empty,1408,1677601202,5931.5,20230228 10:20:02,10:20:02,5,1677601199,8.51E-05,37.2184,0.085131493,-1.487238694,141.2599,569.5390528,56.42096503,13.99380752,0.005447191,3.460242202,0.005442432,0.003401947,238.0507799,27.81520836,25.06348,3.191731379,52.84412213,1.680254677,3.179643468,1.511476702,-3.754298854,-11.87568245,322.2897844,544.7105829,-104.0932636,0.088035901,-1.487238694,35.95615139,110.6274848,-11.83208302,92.95838161,0.085131493,16.87461194,16.95844424,-2.64E-05,100.24,0,0,1,0,52699.72253,1500.003,1264.502651,0.843000081,0.158700203,6,0.5,0: Broadleaf,2,TRUE,1677601199,141.2599,37.2184,16.96126,16.87475,137.9304,16.60398,600.2268,98.96435,0.09991039,24.99982,25.06348,999.9,0,0,10003.748,488.6903,271.506,104.04161,143.6972,37.85722,0.08650265,37.2184,16.87475,1.678559,1.669999,14.69956,14.62033,1500.003,0.8999973,0.1000027,30,29958.13,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,116.2969373,302.3409183,72.39282346,0,0.086168522,0.035341397,0.006386234,1,1,2,2-Jan,3.20832,2.73537,0.0285648,0.0103383,0.0865335,0.0859643,31383.3,25301.1,30730.1,27596.5,38026.8,38425.6,46502.8,47282.7,2.17285,1.6454,0.0106916,0,24.8887,999.9,46.3,31.7,21.9639,62.8047,28.2292,1,0.0487906,0.838636,20.1853,5.2429,11.908,5.0108,3.2948,1533.7,8577.1,6517,999.9,1.86629,1.86401,1.86722,1.86676,1.86066,1.86357,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.329,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.6,102.6,0.241699,2.54761,1.65283,2.29004,1.55029,2.41943,37.4819,23.7723,19,630.833,343.973,23.5868,28.159,30,28.4969,28.6105,4.85345,27.7354,0,23.5904,44.3,16.9258,107.202,99.4343
empty,empty,1409,1677601205,5934.5,20230228 10:20:05,10:20:05,5,1677601202,8.09E-05,36.28043,0.080869102,-1.903245378,105.77085,684.9209694,67.85130931,10.47812957,0.005173379,3.467870194,0.005169095,0.003231069,238.0504851,27.80926307,25.06317,3.191672419,52.83761528,1.679943616,3.179446323,1.511728803,-3.566327416,-12.03834268,322.2782198,544.7240348,-69.52618455,0.083548639,-1.903245378,37.20362376,86.00221515,-7.579282966,92.95838161,0.080869102,16.87609206,16.95570848,-2.24E-05,100.24,0,0,1,0,52864.46757,1500.001,1264.501091,0.843000165,0.158700218,6,0.5,0: Broadleaf,2,TRUE,1677601202,105.77085,36.28043,16.95809,16.87599,102.4413,16.6008,600.2325,98.96461,0.09982567,24.99878,25.06317,999.9,0,0,10036.308,488.7108,266.038,69.49039,107.59549,36.9032,0.08210335,36.28043,16.87599,1.67825,1.670125,14.6967,14.62151,1500.001,0.8999974,0.1000027,30,29958.09,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,124.5270588,-171.1010467,61.14603686,0,0.086862237,-0.00817016,0.005412002,1,1,2,2-Jan,3.2083,2.7355,0.0224,0.0111976,0.086525,0.0859688,31582.3,25279.3,30730,27596.7,38026.5,38425.7,46502.4,47283.1,2.17283,1.64533,0.0107847,0,24.889,999.9,46.2,31.8,22.0403,62.8647,28.2532,1,0.0485696,0.814739,20.1857,5.24245,11.9078,5.01065,3.2947,1533.7,8577.1,6517,999.9,1.86627,1.86401,1.86722,1.86676,1.86066,1.86357,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.33,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.6,102.6,0.253906,2.54761,1.65283,2.29004,1.55029,2.43286,37.5059,23.7723,19,630.793,343.92,23.584,28.1569,30,28.4951,28.6087,5.07405,27.7354,0,23.5904,49.31,16.9268,107.201,99.435
empty,empty,1410,1677601208,5937.5,20230228 10:20:08,10:20:08,5,1677601205,7.86E-05,38.97058,0.078580193,-1.948177188,82.82686,693.9376368,68.74493177,8.205242859,0.005024243,3.464710043,0.005020199,0.003137988,238.0503275,27.81068665,25.06612,3.192233535,52.83519351,1.679718396,3.179165788,1.512515138,-3.465386519,-12.8548498,322.2230659,543.953157,-43.88128243,0.080182539,-1.948177188,40.85037506,70.9944103,-4.554977206,92.95838161,0.078580193,16.87711395,16.95441394,-1.27E-05,100.24,0,0,1,0,52796.54307,1500.001,1264.500911,0.843000045,0.158700113,6,0.5,0: Broadleaf,2,TRUE,1677601205,82.82686,38.97058,16.95572,16.87693,79.49736,16.59843,600.2512,98.96505,0.09994968,24.9973,25.06612,999.9,0,0,10022.755,488.7547,261.5674,43.85628,84.2555,39.63958,0.07878741,38.97058,16.87693,1.678022,1.670227,14.69461,14.62245,1500.001,0.8999985,0.1000015,30,29958.07,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,122.263422,-595.3779449,62.80257776,0,0.086599439,-0.050884585,0.005751601,1,1,2,2-Jan,3.20833,2.73543,0.0186239,0.0124282,0.0865194,0.0859699,31704.5,25248.2,30730.2,27597,38026.7,38426,46502.7,47283.4,2.17278,1.64538,0.0108965,0,24.889,999.9,46.2,31.8,22.0384,62.8947,28.2492,1,0.0483562,0.789379,20.186,5.2426,11.908,5.0107,3.29495,1533.7,8577.1,6517,999.9,1.86629,1.86401,1.86722,1.86676,1.86065,1.86358,1.86264,1.86753,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.329,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.7,102.7,0.264893,2.54883,1.65283,2.29004,1.55029,2.41577,37.5059,23.781,19,630.734,343.936,23.5837,28.1551,30,28.4933,28.6069,5.30313,27.7354,0,23.5919,54.32,16.9295,107.202,99.4359
empty,empty,1411,1677601221,5950,20230228 10:20:20,10:20:20,5,1677601218,7.65E-05,58.75075,0.076465091,-2.594589206,57.97393,894.8034862,88.64578247,5.74332182,0.004894446,3.454979231,0.004890598,0.003056969,238.0501433,27.81423308,25.05746,3.190586571,52.84923097,1.679730975,3.178345161,1.510855596,-3.37211051,-12.01221955,322.2590091,544.9248223,0.772796359,0.07497179,-2.594589206,61.04188217,60.08836121,0.580858047,92.95838161,0.076465091,16.88157966,16.95663758,1.19E-05,100.24,0,0,1,0,52587.57354,1500.002,1264.501792,0.843000071,0.158699884,6,0.5,0: Broadleaf,2,TRUE,1677601218,57.97393,58.75075,16.95545,16.88178,54.64443,16.59815,600.2493,98.9673,0.10001906,24.99297,25.05746,999.9,0,0,9981.008,488.833,261.7917,-0.7768369,58.97384,59.75961,0.07364636,58.75075,16.88178,1.678033,1.670745,14.69469,14.62726,1500.002,0.900002,0.09999815,30,29958.15,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,28.84641778,-283.4913359,28.63562907,0,0.077014683,-0.034368618,0.003569903,1,1,2,2-Jan,3.20841,2.73558,0.016179,0.0177934,0.0865321,0.0859968,31783.8,25111.3,30730.5,27597.3,38026.5,38425.5,46503.2,47283.7,2.17265,1.6454,0.0102818,0,24.889,999.9,46.2,31.8,22.04,63.0747,28.2812,1,0.0476702,0.745071,20.1862,5.24335,11.9077,5.01075,3.29505,1534.2,8579.3,6517,999.9,1.86628,1.86401,1.86722,1.86676,1.86066,1.86356,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.33,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.9,102.9,0.296631,2.53784,1.65283,2.29004,1.55029,2.3938,37.5059,23.7723,19,630.552,343.906,23.5973,28.1476,29.9997,28.4859,28.6002,5.92765,27.7354,0,23.6007,64.34,16.9343,107.203,99.4367
empty,empty,1412,1677601224,5953,20230228 10:20:23,10:20:23,5,1677601221,7.53E-05,61.87125556,0.075324882,-2.612109336,59.58851111,914.7616851,90.62296805,5.903272761,0.004821709,3.45532462,0.004817974,0.003011569,238.0498189,27.8161886,25.0577,3.190632204,52.8475879,1.679873157,3.17871302,1.510759047,-3.321827302,-11.69653153,322.2844564,545.3159164,2.279427781,0.074827858,-2.612109336,63.64538791,62.10339152,0.678940304,92.95838161,0.075324882,16.88369989,16.95767818,4.83E-06,100.24,0,0,1,0,52594.66577,1500,1264.499993,0.842999995,0.158699879,6,0.5,0: Broadleaf,2,TRUE,1677601221,59.58851111,61.87125556,16.95688889,16.88336667,56.25901111,16.59958889,600.3002222,98.96702222,0.100275333,24.99491111,25.0577,999.9,0,0,9982.507778,488.8552222,263.3055556,-2.282757778,60.61636667,62.93378889,0.073501589,61.87125556,16.88336667,1.678172222,1.670897778,14.69596667,14.62867778,1500,0.900001778,0.099998278,30,29958.17778,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,16.21934728,-188.8925578,19.34731342,0,0.075434683,-0.021997284,0.002332115,1,1,2,2-Jan,3.20828,2.73515,0.0167384,0.0181807,0.0865387,0.0859993,31765.8,25101.7,30730.5,27597.6,38026.1,38425.9,46503,47284.4,2.17263,1.64543,0.01017,0,24.8886,999.9,46.2,31.8,22.0413,63.4647,28.2292,1,0.0476016,0.743788,20.186,5.24245,11.9072,5.0106,3.2949,1534.2,8579.3,6517,999.9,1.86627,1.86401,1.86722,1.86676,1.86065,1.86356,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.329,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,102.9,102.9,0.246582,2.55005,1.65283,2.29004,1.55029,2.40356,37.53,23.7723,19,630.518,343.912,23.6012,28.1452,29.9999,28.4847,28.599,4.94258,27.7354,0,23.6051,14.26,16.9324,107.203,99.438
empty,empty,1413,1677601227,5956,20230228 10:20:26,10:20:26,5,1677601224,7.68E-05,61.8175,0.076770908,-2.666030589,61.24532,917.3917744,90.88312999,6.067382043,0.004915504,3.453482201,0.004911621,0.003070112,238.0497447,27.81810408,25.05644,3.190392636,52.84886505,1.679994773,3.178866323,1.510397862,-3.385597046,-11.30510052,322.3105789,545.669626,0.567836355,0.075219587,-2.666030589,63.37175164,63.54433091,0.410489385,92.95838161,0.076770908,16.88420626,16.95955636,1.26E-05,100.24,0,0,1,0,52554.83032,1499.999,1264.499212,0.843000037,0.158699936,6,0.5,0: Broadleaf,2,TRUE,1677601224,61.24532,61.8175,16.95819,16.88428,57.91582,16.6009,600.276,98.96674,0.10012818,24.99572,25.05644,999.9,0,0,9974.687,488.8727,267.6233,-0.5721827,62.30185,62.87916,0.07390252,61.8175,16.88428,1.678297,1.670982,14.69712,14.62946,1499.999,0.9000011,0.09999898,30,29958.14,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,8.13141535,-114.4800887,12.23877206,0,0.074549058,-0.011085167,0.001348131,1,1,2,2-Jan,3.20828,2.73518,0.017008,0.0156062,0.0865429,0.0859996,31757.3,25167.8,30730.7,27597.8,38026,38425.9,46503.1,47284.5,2.1729,1.64557,0.0104308,0,24.887,999.9,46.2,31.8,22.0392,63.5247,28.2532,1,0.0474543,0.745997,20.1858,5.2414,11.9074,5.01055,3.29468,1534.2,8579.3,6517,999.9,1.86628,1.86401,1.86722,1.86676,1.86066,1.86356,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.329,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,103,103,0.212402,2.55737,1.65283,2.29004,1.55029,2.40112,37.53,23.7723,19,630.714,343.984,23.6047,28.144,29.9998,28.483,28.5972,4.24782,27.7354,0,23.6081,19.28,16.9316,107.203,99.4385
empty,empty,1414,1677601230,5959,20230228 10:20:29,10:20:29,5,1677601227,7.66E-05,51.99211,0.076605517,-1.780333531,61.32271,633.6359923,62.77195574,6.075012285,0.004906121,3.456291654,0.004902255,0.003064257,238.0504277,27.81641862,25.05501,3.190120763,52.85099421,1.680105529,3.178947821,1.510015235,-3.378303303,-10.96771316,322.3331392,546.0375505,-9.338977516,0.076436016,-1.780333531,47.58815364,59.68150788,-1.663077217,92.95838161,0.076605517,16.88458038,16.95982182,5.26E-06,100.24,0,0,1,0,52615.26903,1500.003,1264.502498,0.842999979,0.158699968,6,0.5,0: Broadleaf,2,TRUE,1677601227,61.32271,51.99211,16.95941,16.8843,57.99321,16.60212,600.2373,98.96642,0.09985227,24.99615,25.05501,999.9,0,0,9986.69,488.8629,271.874,9.3305863,62.38064,52.88505,0.07510758,51.99211,16.8843,1.678412,1.670979,14.6982,14.62941,1500.003,0.9000004,0.09999959,30,29958.15,1677595048,8:37:28,1677595048,1677595047,2,-0.242,-0.056,3.329,0.357,420,17,0.23,0.12,4.8536936,-34.3931955,7.484180017,0,0.074217468,-0.000940002,0.00078151,1,1,2,2-Jan,3.20826,2.73523,0.0155879,0.00957101,0.0865445,0.0859957,31803.4,25321.9,30731,27597.7,38026.2,38425.6,46503.6,47284.3,2.1727,1.64557,0.0101328,0,24.8869,999.9,46.2,31.8,22.0405,63.3447,28.3974,1,0.047378,0.744289,20.1858,5.24215,11.9072,5.0109,3.29472,1534.2,8579.3,6517,999.9,1.86628,1.86401,1.86722,1.86676,1.86066,1.86357,1.86264,1.86752,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,3.33,0.3573,3.3295,0,0,0,0.357285,0,0,0,-1,-1,-1,-1,103,103,0.20752,2.56348,1.65283,2.29004,1.55029,2.39868,37.53,23.7723,19,630.537,343.972,23.6069,28.1422,29.9998,28.4812,28.5955,4.16786,27.7354,0,23.6081,24.3,16.9325,107.204,99.4381
