treatment,replicate,obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
empty,empty,1,1694091130,0,20230907 07:52:09,7:52:09,1,1694091122,5.68E-05,0.056751672,-0.121432923,419.3107742,461.5596292,45.9805019,41.77167722,0.003653735,4.05391218,0.003651907,0.002282606,238.0491142,27.41915601,25.10062258,3.198802634,53.13856098,1.688658037,3.177839231,1.510144597,-2.50274874,-24.11149794,321.7276359,533.1625034,-0.054982656,0.065230827,-0.121432923,426.5394811,426.5756606,0.004172395,91.54285347,0.056751672,16.91461981,16.94287879,-5.70E-05,100.24,0,0,1,0,52970.26857,1499.995161,1264.495655,0.842999823,0.158699921,3,0.5,0: Broadleaf,2,TRUE,1694091122,419.3107742,419.2969677,16.95101935,16.91897742,417.736871,16.79676452,600.386,99.5198129,0.100038974,24.9903,25.10062258,999.9,0,0,9998.446452,513.9284839,41.06132258,0.013802808,426.541129,426.5131613,0.032042165,419.2969677,16.91897742,1.686962258,1.683772903,14.77698065,14.74764194,1499.995161,0.900000484,0.099999329,29.26612903,30875.09032,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,0.020933572,-0.053336606,0.045854951,1,0.032445024,-0.011132877,0.001239822,1,2,2,2-Feb,3.20729,2.73527,0.0996521,0.0995534,0.0875478,0.0864214,28660.1,22571.9,30285.1,27068.7,37497.3,37646.6,45900.6,46343,2.15637,1.63695,-0.0109039,0,25.2787,999.9,55,31,24.9318,64.98,26.903,1,0.16831,2.11925,20.1686,5.24514,11.9081,5.0117,3.296,8025.8,9999,8341.5,999.9,1.86584,1.8637,1.86688,1.86644,1.86034,1.86325,1.86228,1.86721,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.574,0.154,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,1.7,1.8,1.02539,2.45728,1.65283,2.29004,1.55029,2.47314,34.8296,23.9649,19,630.654,346.503,22.9288,29.5705,30.001,29.3264,29.3248,20.5101,39.989,0,22.9315,420,16.9454,105.748,97.4856
empty,empty,2,1694091132,2,20230907 07:52:11,7:52:11,1,1694091124,5.64E-05,0.056364508,-0.055943908,419.3171379,433.3968872,43.17486621,41.77224586,0.00362803,4.053431933,0.003626226,0.002266553,238.0491805,27.42046403,25.10107241,3.198888358,53.12824645,1.688425718,3.178018908,1.51046264,-2.485674803,-23.99971757,321.7362699,533.300058,-0.062982934,0.064295281,-0.055943908,426.5900156,426.601697,0.002736787,91.54285347,0.056364508,16.91247901,16.94057273,-6.06E-05,100.24,0,0,1,0,52961.49405,1499.995517,1264.495992,0.842999848,0.158699928,3,0.5,0: Broadleaf,2,TRUE,1694091124,419.3171379,419.2991379,16.94871379,16.91713103,417.7432069,16.79453793,600.3803448,99.51967931,0.100016814,24.99124828,25.10107241,999.9,0,0,9996.766897,513.9023793,41.10173103,0.017983278,426.5465862,426.5145517,0.031581552,419.2991379,16.91713103,1.68673,1.683586552,14.77484483,14.74592759,1499.995517,0.900000483,0.099999359,29.34195172,30875.09655,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,0.012517551,-0.014793726,0.044221244,1,0.032031493,-0.012141198,0.001327012,1,2,2,2-Feb,3.20723,2.73529,0.0996531,0.0995571,0.0875388,0.0864181,28659.6,22571.7,30284.6,27068.7,37497.2,37646.7,45899.9,46343,2.15628,1.637,-0.0109933,0,25.2766,999.9,55,31,24.9336,64.72,27.0713,1,0.168821,2.11651,20.1687,5.24529,11.908,5.0117,3.296,8025.8,9999,8341.5,999.9,1.86584,1.86371,1.86689,1.86644,1.86035,1.86325,1.86228,1.86722,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.574,0.1539,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,1.8,1.8,1.02661,2.45728,1.65283,2.29004,1.55029,2.47925,34.8296,23.9562,19,630.631,346.562,22.9309,29.5745,30.0011,29.3314,29.3298,20.5194,39.989,0,22.9315,420,16.9454,105.747,97.4855
empty,empty,3,1694091134,4,20230907 07:52:13,7:52:13,1,1694091126,5.32E-05,0.053159733,-0.047687055,419.3275,431.0641136,42.94242855,41.77323197,0.003420929,4.053694779,0.003419326,0.002137223,238.0490175,27.42179049,25.10165714,3.198999791,53.11907689,1.688220037,3.178180299,1.510779754,-2.344344232,-23.94292399,321.7419621,533.5037114,-0.051093895,0.063042864,-0.047687055,426.609031,426.6215455,0.001915168,91.54285347,0.053159733,16.91204276,16.93850061,-5.14E-05,100.24,0,0,1,0,52966.04944,1499.994286,1264.495086,0.842999935,0.15869995,3,0.5,0: Broadleaf,2,TRUE,1694091126,419.3275,419.3151786,16.94666786,16.9157,417.7534643,16.79256786,600.3757143,99.5196,0.09998605,24.9921,25.10165714,999.9,0,0,9997.701429,513.8873214,39.37389286,0.012288777,426.55625,426.53025,0.030969964,419.3151786,16.9157,1.686525,1.6834425,14.77296071,14.74460357,1499.994286,0.9000005,0.099999443,29.421125,30875.07857,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,0.006745133,0.044388066,0.041253255,1,0.031460927,-0.015537518,0.001673203,1,2,2,2-Feb,3.20732,2.7352,0.0996562,0.0995455,0.0875296,0.0864103,28659.2,22572,30284.3,27068.8,37497.2,37647.3,45899.5,46343.3,2.15618,1.63687,-0.0104457,0,25.275,999.9,55,31,24.9319,64.61,27.1194,1,0.169014,2.12189,20.1684,5.24559,11.908,5.0116,3.296,8025.8,9999,8341.5,999.9,1.86584,1.8637,1.8669,1.86644,1.86035,1.86325,1.86228,1.86721,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.574,0.1538,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,1.8,1.8,1.02661,2.4585,1.65283,2.28882,1.55029,2.47681,34.8296,23.9649,19,630.608,346.524,22.933,29.5796,30.001,29.3364,29.3347,20.5315,39.989,0,22.9354,420,16.9454,105.746,97.4861
empty,empty,4,1694091136,6,20230907 07:52:15,7:52:15,1,1694091127,5.15E-05,0.051524365,-0.145813992,419.3426667,478.586614,47.67654789,41.77469687,0.003314542,4.053575743,0.003313037,0.002070783,238.0489237,27.42313889,25.10318519,3.199291011,53.10951088,1.688012179,3.178361373,1.511278831,-2.272224478,-24.06733009,321.7383938,533.4477629,-0.070592013,0.061758003,-0.145813992,426.5537098,426.6253152,0.00041006,91.54285347,0.051524365,16.91082228,16.93649939,-5.47E-05,100.24,0,0,1,0,52963.74498,1499.993704,1264.49464,0.842999965,0.158699949,3,0.5,0: Broadleaf,2,TRUE,1694091127,419.3426667,419.3203333,16.9446,16.91426296,417.7685556,16.79057407,600.3704815,99.5194963,0.09998007,24.99305556,25.10318519,999.9,0,0,9997.292222,513.873037,38.04902963,0.022326436,426.5707037,426.5348148,0.030342952,419.3203333,16.91426296,1.686316667,1.683297037,14.77104815,14.74326667,1499.993704,0.90000063,0.099999352,29.51850741,30875.07037,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,0.01193684,0.056836058,0.042078673,1,0.031219529,-0.016683769,0.001767787,1,2,2,2-Feb,3.20728,2.73525,0.0996566,0.0995317,0.0875228,0.0863999,28659,22572.4,30284.1,27068.9,37497.3,37647.8,45899.2,46343.5,2.15613,1.63698,-0.00988692,0,25.2739,999.9,55,31,24.9341,65.34,27.2716,1,0.169342,2.12097,20.168,5.24499,11.9081,5.0116,3.296,8025.8,9999,8341.5,999.9,1.86584,1.86368,1.86691,1.86644,1.86033,1.86325,1.86229,1.86719,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.575,0.1537,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,1.8,1.9,1.02783,2.45483,1.65283,2.29004,1.55029,2.43164,34.8525,23.9649,19,630.625,346.612,22.9344,29.5845,30.0009,29.3414,29.3396,20.5436,39.989,0,22.9354,420,16.9454,105.745,97.4864
empty,empty,5,1694091138,8,20230907 07:52:17,7:52:17,1,1694091129,5.37E-05,0.053721288,-0.239803784,419.3535385,518.791988,51.68174192,41.77574413,0.003454464,4.054511443,0.003452829,0.002158165,238.0490048,27.42326957,25.10547692,3.199727821,53.09970838,1.687808429,3.178564404,1.511919392,-2.369108794,-24.33964251,321.7277887,533.0680422,-0.106192929,0.060875556,-0.239803784,426.4832929,426.6110242,-0.000954139,91.54285347,0.053721288,16.90849697,16.93518727,-4.48E-05,100.24,0,0,1,0,52980.31501,1499.994231,1264.495069,0.842999955,0.158699947,3,0.5,0: Broadleaf,2,TRUE,1694091129,419.3535385,419.3132308,16.94256923,16.91266538,417.7793077,16.78861923,600.3659231,99.51939231,0.099998723,24.99412692,25.10547692,999.9,0,0,10000.60154,513.8559615,36.7408,0.040272629,426.5808462,426.5268846,0.029910385,419.3132308,16.91266538,1.686112308,1.683136538,14.76916923,14.74178462,1499.994231,0.900000615,0.099999354,29.62018077,30875.07692,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,0.032227313,0.176326067,0.051322533,0,0.0306169,-0.01657957,0.001774016,1,1,2,2-Jan,3.20718,2.73544,0.0996507,0.0995421,0.0875162,0.0863903,28659,22572.1,30284,27068.8,37497.5,37648,45899.1,46343.2,2.15613,1.63692,-0.00962242,0,25.2723,999.9,55,31,24.9318,65.2,27.3037,1,0.169736,2.12178,20.1679,5.24529,11.9081,5.0117,3.296,8026,9999,8341.5,999.9,1.86584,1.86368,1.8669,1.86645,1.86032,1.86325,1.86229,1.8672,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.574,0.1536,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,1.9,1.9,1.02783,2.4585,1.65283,2.28882,1.55029,2.40479,34.8525,23.9562,19,630.681,346.608,22.9359,29.5883,30.0009,29.3463,29.3433,20.5512,39.989,0,22.9354,420,16.9454,105.745,97.486
empty,empty,6,1694091140,10,20230907 07:52:19,7:52:19,1,1694091132,5.46E-05,0.054606034,-0.201186393,419.36048,499.6638551,49.77618939,41.77641921,0.003510024,4.055452571,0.003508338,0.002192862,238.0489415,27.42383245,25.107448,3.200103555,53.08922333,1.687601232,3.178801884,1.512502323,-2.408126116,-24.50227396,321.7234824,532.8620239,-0.100183744,0.060420028,-0.201186393,426.5066744,426.6089515,-2.68E-06,91.54285347,0.054606034,16.90610407,16.93313152,-3.03E-05,100.24,0,0,1,0,52996.95339,1499.9936,1264.494564,0.842999973,0.158699971,3,0.5,0: Broadleaf,2,TRUE,1694091132,419.36048,419.32308,16.940496,16.910816,417.7862,16.786624,600.36876,99.51934,0.100011848,24.99538,25.107448,999.9,0,0,10003.9256,513.8394,36.908548,0.037330306,426.587,426.53616,0.029688876,419.32308,16.910816,1.6859052,1.6829512,14.76726,14.740076,1499.9936,0.90000032,0.09999966,29.719988,30875.048,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,0.032379154,0.26348972,0.052082206,0,0.030267433,-0.013409999,0.001539575,1,1,2,2-Jan,3.20714,2.73497,0.0996511,0.0995456,0.0875091,0.0863819,28659,22571.6,30284,27068.3,37497.8,37648,45899.2,46342.7,2.15583,1.63697,-0.00943989,0,25.2702,999.9,55,31,24.9309,64.88,27.2756,1,0.170094,2.12639,20.1672,5.2426,11.908,5.01105,3.29543,8026,9999,8341.5,999.9,1.86584,1.86369,1.86689,1.86646,1.86034,1.86325,1.86229,1.86721,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.574,0.1536,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,1.9,1.9,1.27441,0.0012207,1.65283,2.29004,1.55029,2.39502,34.8525,23.9562,19,630.501,346.66,22.9369,29.5923,30.0009,29.3513,29.3471,33.2027,39.989,0,22.9366,1210,16.9475,105.745,97.4847
empty,empty,7,1694091142,12,20230907 07:52:21,7:52:21,1,1694091134,5.55E-05,0.05550646,0.319934521,419.37075,267.2528625,26.62354337,41.77742101,0.003567048,4.055979679,0.003565306,0.002228473,238.0489481,27.42458232,25.10827083,3.200260417,53.07857128,1.687384098,3.179030742,1.512876319,-2.447834884,-24.42134514,321.7316227,532.9113907,0.140797261,0.060342222,0.319934521,426.7669327,426.6050909,-0.000126747,91.54285347,0.05550646,16.90376384,16.93130545,-4.11E-05,100.24,0,0,1,0,53006.18386,1499.993333,1264.494387,0.843000005,0.158700004,3,0.5,0: Broadleaf,2,TRUE,1694091134,419.37075,419.45375,16.938325,16.90868333,417.7964583,16.78453333,600.372375,99.5193375,0.099963592,24.9965875,25.10827083,999.9,0,0,10005.785,513.81725,38.57321667,-0.083034714,426.596625,426.6682083,0.029649658,419.45375,16.90868333,1.68568875,1.68273875,14.76526667,14.73811667,1499.993333,0.899999958,0.100000046,29.8159625,30875.0375,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,-0.030991823,-1.037219755,0.429204336,0,0.029997293,-0.006871645,0.001199634,1,1,2,2-Jan,3.20733,2.73502,0.0996574,0.102161,0.0875018,0.086377,28658.5,22505.6,30283.6,27067.8,37498,37647.9,45899,46342.2,2.15587,1.63745,-0.00916794,0,25.2681,999.9,55,31,24.9321,64.8,27.1675,1,0.170488,2.128,20.1672,5.242,11.908,5.01095,3.29528,8026,9999,8341.5,999.9,1.86584,1.86369,1.8669,1.86646,1.86034,1.86325,1.8623,1.86721,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.575,0.1536,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,1.9,2,2.14233,2.4292,1.65283,2.29004,1.55029,2.35718,34.8755,23.9474,19,630.596,346.96,22.9373,29.5974,30.001,29.3563,29.352,45.2983,39.989,0,22.9366,1210,16.9475,105.744,97.4833
empty,empty,47,1694091222,92.4000001,20230907 07:53:42,7:53:42,1,1694091214,4.09E-05,0.040946613,6.79462207,377.7328333,-3711.958529,-369.8005493,37.63129576,0.00263235,4.053609725,0.002631401,0.001644711,238.0490499,27.42836998,25.09072083,3.196916189,52.99428214,1.684669366,3.178964405,1.512246823,-1.805745644,-20.6482183,321.9268757,537.5219616,-628.9415522,-0.020951985,6.79462207,38.5372983,132.8886182,-15.97719307,91.54285347,0.040946613,16.98127367,16.94691212,0.008126667,100.24,0,0,1,0,52963.88696,1499.994583,1264.495393,0.842999973,0.15869994,3,0.5,0: Broadleaf,2,TRUE,1694091214,377.7328333,63.4771625,16.91025833,16.92055,376.4604167,16.7575,600.41825,99.52404583,0.100059988,24.9962375,25.09072083,999.9,0,0,9996.955,512.9324167,17.0317375,314.2557125,384.2275417,64.56836667,-0.010282991,63.4771625,16.92055,1.682977083,1.68400125,14.74031667,14.7496875,1499.994583,0.900000792,0.099999204,30,30875.05833,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,372.2664195,-1458.655254,192.1053352,0,0.006562867,-0.377703392,0.038942752,1,1,2,2-Jan,3.20688,2.73502,0.0350514,0.0115838,0.0875341,0.0866557,30704.7,24773.8,30273.9,27066.2,37482.3,37629.1,45886.1,46339.4,2.15345,1.63395,-0.0071153,0,25.211,999.9,54.7,31.1,24.9363,65.31,27.2356,1,0.183232,2.14296,20.1657,5.23796,11.9081,5.0102,3.29473,8027.8,9999,8341.5,999.9,1.86584,1.86371,1.86689,1.86646,1.86035,1.86325,1.86232,1.86722,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.435,0.1542,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,3.3,3.3,0.223389,2.51709,1.65283,2.29004,1.55029,2.46826,35.1747,23.9562,19,630.713,346.169,22.8435,29.7619,30.0008,29.5374,29.5355,4.51642,39.1496,0,22.8436,54.25,16.9858,105.713,97.4775
empty,empty,48,1694091224,94.4000001,20230907 07:53:44,7:53:44,1,1694091216,2.80E-05,0.027998556,5.590351633,294.9542083,-4620.17993,-460.2818769,29.38458646,0.00180047,4.052414399,0.001800026,0.001125056,238.0490705,27.43242166,25.091125,3.19699317,53.01312883,1.685356415,3.179130249,1.511636756,-1.234736334,-20.53926484,321.9349682,538.2100375,-489.9850294,-0.040003499,5.590351633,40.96881382,109.3232182,-11.63024885,91.54285347,0.027998556,16.98571626,16.95655939,0.006401333,100.24,0,0,1,0,52942.32267,1499.994583,1264.495391,0.842999972,0.158699953,3,0.5,0: Broadleaf,2,TRUE,1694091216,294.9542083,50.12246667,16.91713333,16.93678333,294.229,16.764125,600.4084583,99.524125,0.100106921,24.9971125,25.091125,999.9,0,0,9992.734167,512.907,18.12715417,244.8317833,300.0267917,50.98535417,-0.019642903,50.12246667,16.93678333,1.683663333,1.68561875,14.74662917,14.764575,1499.994583,0.900000583,0.099999404,30,30875.05417,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,333.35766,-2141.963475,209.9510698,0,-0.004757827,-0.361899703,0.037163105,1,1,2,2-Jan,3.20698,2.73527,0.0293731,0.012421,0.0875696,0.0866574,30885.3,24752.8,30273.9,27066.2,37480.4,37629,45886.1,46339.4,2.1536,1.63388,-0.00676513,0,25.21,999.9,54.7,31.1,24.9364,64.9,26.7909,1,0.183506,2.14574,20.1663,5.2408,11.9081,5.01085,3.29533,8027.8,9999,8341.5,999.9,1.86584,1.86371,1.86689,1.86646,1.86035,1.86325,1.86232,1.86722,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.585,0.1545,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,3.3,3.3,0.230713,2.51343,1.65283,2.29004,1.55029,2.41333,35.1747,23.9562,19,630.881,346.149,22.8442,29.7653,30.0008,29.5419,29.5391,4.65565,39.1496,0,22.8446,59.26,16.9858,105.713,97.4775
empty,empty,49,1694091226,96.4000001,20230907 07:53:46,7:53:46,1,1694091218,1.21E-05,0.012146878,4.72928377,231.034775,-9340.145703,-930.5056297,23.0166815,0.000781411,4.051605099,0.000781327,0.000488337,238.0493734,27.43671567,25.0914375,3.197052693,53.03734629,1.686204648,3.179277936,1.510848045,-0.535677326,-20.43322892,321.9427155,539.0231826,-374.3062304,-0.052064479,4.72928377,44.01699331,92.47330242,-8.308060348,91.54285347,0.012146878,16.98688768,16.96611212,0.003989333,100.24,0,0,1,0,52927.69323,1499.99625,1264.496782,0.842999962,0.158699979,3,0.5,0: Broadleaf,2,TRUE,1694091218,231.034775,43.99724583,16.92563333,16.95120833,230.7385083,16.77231667,600.3900833,99.52425417,0.100062113,24.99789167,25.0914375,999.9,0,0,9989.869583,512.8832083,19.57729583,187.0375792,235.0096375,44.75565,-0.02557182,43.99724583,16.95120833,1.684511667,1.687056667,14.75443333,14.7778125,1499.99625,0.900000167,0.099999796,30,30875.08333,1694091025,7:50:25,1694091025,1694091024,1,-0.76,-0.066,1.536,0.153,413,17,0.31,0.19,297.2160122,-2031.091133,205.6135875,0,-0.009321392,-0.303942912,0.034137165,1,1,2,2-Jan,3.2072,2.73527,0.0252476,0.01334,0.0876012,0.0866531,31016.7,24729.7,30274,27066.2,37479,37629.3,45886.2,46339.5,2.1538,1.63372,-0.00692904,0,25.2088,999.9,54.7,31.1,24.9371,65.36,27.1514,1,0.183849,2.14703,20.1662,5.2405,11.9081,5.01075,3.29533,8027.8,9999,8341.5,999.9,1.86584,1.86371,1.86691,1.86646,1.86035,1.86325,1.86234,1.86721,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.691,0.1549,-1.323238249,0.0072346,-7.85E-07,1.65E-10,-0.21015538,0.004426645,0.001079572,-3.07E-06,2,2114,1,22,3.3,3.4,0.240479,2.51343,1.65283,2.29004,1.55029,2.37183,35.1747,23.9474,19,631.088,346.098,22.8447,29.7689,30.0008,29.5463,29.5442,4.86089,39.1496,0,22.8446,59.26,16.9858,105.713,97.4775
