species,treatment,number,shoots_mg,roots_mg,date
lettuce,s,1,,1.436,3/21/2023
lettuce,s,2,3.777,1.334,3/21/2023
lettuce,s,3,5.539,1.465,3/21/2023
lettuce,s,4,5.136,1.675,3/21/2023
lettuce,s,5,3.91,1.337,3/21/2023
lettuce,s,6,3.229,1.095,3/21/2023
lettuce,s,7,5.055,1.228,3/21/2023
lettuce,s,8,4.702,1.258,3/21/2023
lettuce,s,9,4.916,1.255,3/21/2023
lettuce,s,10,3.891,1.105,3/21/2023
lettuce,s,11,2.123,0.707,3/21/2023
lettuce,s,12,6.457,1.117,3/21/2023
lettuce,s,13,2.749,0.971,3/21/2023
lettuce,s,14,2.359,0.915,3/21/2023
lettuce,s,15,3.24,1.567,3/21/2023
lettuce,s,16,2.361,0.999,3/21/2023
lettuce,s,17,2.405,0.868,3/21/2023
lettuce,s,18,3.765,0.734,3/21/2023
lettuce,s,19,3.694,1.459,3/21/2023
lettuce,s,20,3.697,1.11,3/21/2023
lettuce,a,1,5.385,1.507,3/21/2023
lettuce,a,2,6.278,1.265,3/21/2023
lettuce,a,3,6.682,1.585,3/21/2023
lettuce,a,4,6.463,2.005,3/21/2023
lettuce,a,5,7.429,2.298,3/21/2023
lettuce,a,6,8.534,1.557,3/21/2023
lettuce,a,7,5.534,1.192,3/21/2023
lettuce,a,8,5.921,1.412,3/21/2023
lettuce,a,9,4.981,1.082,3/21/2023
lettuce,a,10,5.93,1.206,3/21/2023
lettuce,a,11,6.457,1.228,3/21/2023
lettuce,a,12,1.117,1.633,3/21/2023
lettuce,a,13,6.255,1.181,3/21/2023
lettuce,a,14,7.403,1.434,3/21/2023
lettuce,a,15,7.683,2.015,3/21/2023
lettuce,a,16,8.223,2.184,3/21/2023
lettuce,a,17,8.053,1.692,3/21/2023
lettuce,a,18,2.426,1.584,3/21/2023
lettuce,a,19,7.357,1.459,3/21/2023
lettuce,a,20,7.886,1.644,3/21/2023
basil,s,1,1.026,0.554,10/3/2023
basil,s,2,0.711,0.336,10/3/2023
basil,s,3,1.184,0.453,10/3/2023
basil,s,4,0.903,0.615,10/3/2023
basil,s,5,1.405,0.641,10/3/2023
basil,s,6,1.171,0.845,10/3/2023
basil,s,7,0.544,0.389,10/3/2023
basil,s,8,1.017,0.298,10/3/2023
basil,s,9,0.838,0.408,10/3/2023
basil,s,10,1.335,0.515,10/3/2023
basil,s,11,1.047,0.436,10/3/2023
basil,s,12,1.494,0.814,10/3/2023
basil,s,13,1.172,0.32,10/3/2023
basil,s,14,1.09,0.41,10/3/2023
basil,s,15,1.596,0.564,10/3/2023
basil,s,16,0.338,0.198,10/3/2023
basil,s,17,0.91,0.419,10/3/2023
basil,s,18,2.153,0.921,10/3/2023
basil,s,19,1.193,0.518,10/3/2023
basil,s,20,0.786,0.573,10/3/2023
basil,a,1,0.807,0.225,10/3/2023
basil,a,2,1.535,0.183,10/3/2023
basil,a,3,5.103,0.632,10/3/2023
basil,a,4,3.655,0.415,10/3/2023
basil,a,5,3.607,0.407,10/3/2023
basil,a,6,0.774,0.099,10/3/2023
basil,a,7,7.713,0.923,10/3/2023
basil,a,8,3.345,0.298,10/3/2023
basil,a,9,5.873,0.731,10/3/2023
basil,a,10,2.25,0.295,10/3/2023
basil,a,11,4.28,0.56,10/3/2023
basil,a,12,,,10/3/2023
basil,a,13,6.338,1.069,10/3/2023
basil,a,14,4.444,0.609,10/3/2023
basil,a,15,5.115,0.579,10/3/2023
basil,a,16,0.64,0.082,10/3/2023
basil,a,17,3.009,0.444,10/3/2023
basil,a,18,9.224,1.007,10/3/2023
basil,a,19,6.894,0.632,10/3/2023
basil,a,20,5.007,0.66,10/3/2023
wheat,s,1,4.064,2.53,3/10/2024
wheat,s,2,4.085,2.452,3/10/2024
wheat,s,3,5.058,1.695,3/10/2024
wheat,s,4,5.755,3.483,3/10/2024
wheat,s,5,3.371,2.915,3/10/2024
wheat,s,6,5.03,2.341,3/10/2024
wheat,s,7,4.3,4.097,3/10/2024
wheat,s,8,4.568,1.541,3/10/2024
wheat,s,9,6.455,2.085,3/10/2024
wheat,s,10,2.373,2.111,3/10/2024
wheat,s,11,3.941,2.341,3/10/2024
wheat,s,12,3.723,2.105,3/10/2024
wheat,s,13,4.688,3.008,3/10/2024
wheat,s,14,3.889,1.86,3/10/2024
wheat,s,15,6.368,2.064,3/10/2024
wheat,s,16,4.918,3.264,3/10/2024
wheat,s,17,4.385,2.696,3/10/2024
wheat,s,18,4.583,2.586,3/10/2024
wheat,s,19,3.626,1.861,3/10/2024
wheat,s,20,4.075,2.711,3/10/2024
wheat,a,1,29.82,3.332,3/10/2024
wheat,a,2,23.628,3.217,3/10/2024
wheat,a,3,27.024,4.447,3/10/2024
wheat,a,4,3.184,2.745,3/10/2024
wheat,a,5,14.006,3.379,3/10/2024
wheat,a,6,19.766,2.184,3/10/2024
wheat,a,7,7.013,3.348,3/10/2024
wheat,a,8,35.056,4.398,3/10/2024
wheat,a,9,42.79,4.403,3/10/2024
wheat,a,10,4.901,1.998,3/10/2024
wheat,a,11,9.674,1.678,3/10/2024
wheat,a,12,28.178,3.302,3/10/2024
wheat,a,13,4.286,6.302,3/10/2024
wheat,a,14,30.026,6.289,3/10/2024
wheat,a,15,37.173,8.047,3/10/2024
wheat,a,16,25.522,0.669,3/10/2024
wheat,a,17,32.511,5.327,3/10/2024
wheat,a,18,10.257,1.831,3/10/2024
wheat,a,19,26.462,8.526,3/10/2024
wheat,a,20,11.143,0.962,3/10/2024
