date_collec,punches,punch_diam_mm2,treatment,replicate,weight_mg,abs_647.3,abs_664.2,measure_date,blank_callib,prepared_date,chlA,chlB
2/14/2023,5,4,A,1,19.15,0.246,0.673,4/4/2023,27,3/28/2023,7.86,10.53
2/14/2023,5,4,A,2,22.08,0.266,0.714,4/4/2023,27,3/28/2023,8.33,11.28
2/14/2023,5,4,A,3,17.66,0.269,0.729,4/4/2023,27,3/28/2023,8.51,11.46
2/14/2023,5,4,A,4,20.46,0.255,0.702,4/4/2023,27,3/28/2023,8.20,10.95
2/14/2023,5,4,A,5,22.36,0.311,0.844,4/4/2023,27,3/28/2023,9.85,13.26
2/14/2023,5,4,A,6,22.95,0.201,0.572,4/4/2023,27,3/28/2023,6.70,8.78
2/14/2023,5,4,A,7,17.21,0.24,0.666,4/4/2023,27,3/28/2023,7.79,10.35
2/14/2023,5,4,A,8,18.69,0.272,0.754,4/4/2023,27,3/28/2023,8.82,11.72
2/14/2023,5,4,A,9,19.61,0.224,0.62,4/4/2023,27,3/28/2023,7.25,9.65
2/14/2023,5,4,A,10,19.12,0.245,0.68,4/4/2023,27,3/28/2023,7.95,10.57
2/14/2023,5,4,A,11,21.45,0.295,0.8,4/4/2023,27,3/28/2023,9.34,12.57
2/14/2023,5,4,A,12,22.71,0.266,0.736,4/4/2023,27,3/28/2023,8.61,11.45
2/14/2023,5,4,A,13,22.15,0.303,0.816,4/4/2023,27,3/28/2023,9.52,12.87
2/14/2023,5,4,A,14,21.22,0.275,0.75,4/4/2023,27,3/28/2023,8.76,11.75
2/14/2023,5,4,A,15,20.04,0.224,0.61,4/4/2023,27,3/28/2023,7.12,9.57
2/14/2023,5,4,A,16,20.45,0.254,0.706,4/4/2023,27,3/28/2023,8.26,10.96
2/14/2023,5,4,A,17,21.3,0.302,0.8,4/4/2023,27,3/28/2023,9.32,12.72
2/14/2023,5,4,A,18,21.15,0.28,0.769,4/4/2023,27,3/28/2023,8.99,12.01
2/14/2023,5,4,A,19,20.09,0.281,0.776,4/4/2023,27,3/28/2023,9.07,12.09
2/14/2023,5,4,A,20,20.72,0.254,0.69,4/4/2023,27,3/28/2023,8.05,10.83
2/14/2023,5,4,C,1,18.63,0.029,0.104,4/11/2023,32,4/4/2023,1.24,1.44
